OrganisationID,OrganisationCode,OrganisationType,SubType,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude,ParentODSCode,ParentName,Phone,Email,Website,Fax
240,V09574,Dentists,UNKNOWN,Visible,TRUE,Barnfield Dental Studio,,10a Barnfield Hill,,Exeter,Devon,EX1 1SR,50.72340012,-3.520382881,Q66,Devon,,,,
2947,V05768,Dentists,UNKNOWN,Visible,TRUE,Ottery St Mary Dental Practice,Dental Surgery,Yonder Close,,Ottery St Mary,Devon,EX11 1HE,50.75097656,-3.275778532,Q66,Devon,,,,
4478,V05754,Dentists,UNKNOWN,Visible,TRUE,Budleigh Salterton Dental Practice,,11 Station Road,,Budleigh Salterton,Devon,EX9 6RW,50.63217545,-3.328355551,Q66,Devon,,,,
6123,V04428,Dentists,UNKNOWN,Visible,TRUE,Ingrid Cubbon Dental Surgery,13 Dendy Road,13 Dendy Road,,Paignton,Devon,TQ4 5DB,50.43624115,-3.566419125,Q66,Devon,,,,
6152,V08318,Dentists,UNKNOWN,Visible,TRUE,Central Park Dental Practice Ltd,Central Park Dental Practice Ltd,15 Milehouse Road,,Plymouth,Devon,PL3 4AD,50.38476181,-4.158601761,Q66,Devon,,,,
6163,V05252,Dentists,UNKNOWN,Visible,TRUE,Castle Hill Dental Practice,Castle Hill Dental Practice,Castle Hill Gardens,,Great Torrington,Devon,EX38 8EL,50.95200348,-4.140162945,Q66,Devon,,,,
6448,V11345,Dentists,UNKNOWN,Visible,TRUE,ADP Tavistock,Tavistock Dental Practice,Kilworthy Park,,Tavistock,Devon,PL19 0FZ,50.55257416,-4.143290997,Q66,Devon,,,,
8912,V06591,Dentists,UNKNOWN,Visible,TRUE,Clark House Dental Surgery,14 Lockyer Street,The Hoe,,Plymouth,Devon,PL1 2QJ,50.36792755,-4.143915653,Q66,Devon,,,,
8913,V06536,Dentists,UNKNOWN,Visible,TRUE,Larkham House Dental Surgery,Larkham House Dental Practice,49 Larkham Lane,Plympton,Plymouth,Devon,PL7 4PH,50.3935318,-4.069599628,Q66,Devon,,,,
8916,V06563,Dentists,UNKNOWN,Visible,TRUE,Milehouse Dental Care,42 Milehouse Road,Milehouse,,Plymouth,Devon,PL3 4DA,50.38433456,-4.160931587,Q66,Devon,,,,
8928,V11652,Dentists,UNKNOWN,Visible,TRUE,Crescent Specialist Centre,,2 The Crescent,,Plymouth,Devon,PL1 3AB,50.3681221,-4.146497726,Q66,Devon,,,,
8933,V08308,Dentists,UNKNOWN,Visible,TRUE,Kingsbridge Dental Centre,,Ilbert Road,,Kingsbridge,Devon,TQ7 1HQ,50.28276062,-3.778815031,Q66,Devon,,,,
8940,V07861,Dentists,UNKNOWN,Visible,TRUE,Quality Dental Care,Brunel House,Orchard Terrace,,Bovey Tracey,Devon,TQ13 9AH,50.59474182,-3.673800945,Q66,Devon,,,,
8949,V07536,Dentists,UNKNOWN,Visible,TRUE,Devon Villa Dental Practice,,98 Queen Street,,Newton Abbot,Devon,TQ12 2ET,50.5307045,-3.604538679,Q66,Devon,,,,
8953,V04486,Dentists,UNKNOWN,Visible,TRUE,Blythswood Dental Centre,Blythswood Dental Surgery,69 St. Marychurch Road,,Torquay,Devon,TQ1 3HG,50.47515869,-3.529611111,Q66,Devon,,,,
8957,V04484,Dentists,UNKNOWN,Visible,TRUE,Shiphay Dental,& Torbay Implant Centre,41 Shiphay Lane,,Torquay,Devon,TQ2 7DU,50.47806168,-3.552932024,Q66,Devon,,,,
8958,V04471,Dentists,UNKNOWN,Visible,TRUE,Millbrook Villas Dental Practice,4 Millbrook Villas,Old Mill Road,Torquay,Torquay,Devon,TQ2 6AS,50.46769714,-3.54444766,Q66,Devon,,,,
8961,V04478,Dentists,UNKNOWN,Visible,TRUE,Kevin McGarey Dental Care,28a Hyde Road,,,Paignton,Devon,TQ4 5BY,50.43669128,-3.565743923,Q66,Devon,,,,
8963,V04489,Dentists,UNKNOWN,Visible,TRUE,Terrace Dental Centre,Terrace Dental Centre,1 St Marychurch Road,,Torquay,Devon,TQ1 3HY,50.46990585,-3.531907558,Q66,Devon,,,,
8965,V00151,Dentists,UNKNOWN,Visible,TRUE,Abbey Dental Surgery,Abbey Dental Centre,86 Abbey Road,,Torquay,Devon,TQ2 5NP,50.46751022,-3.53407073,Q66,Devon,,,,
8971,V06696,Dentists,UNKNOWN,Visible,TRUE,Lynbridge House Dental Surgery,Lynbridge House,26 West Street,,Tavistock,Devon,PL19 8AN,50.54921722,-4.147839069,Q66,Devon,,,,
10090,V07505,Dentists,UNKNOWN,Visible,TRUE,Apollonia House,Elysian Fields,,,Sidmouth,Devon,EX10 8UH,50.6849556,-3.238384962,Q66,Devon,,,,
10091,V05769,Dentists,UNKNOWN,Visible,TRUE,Seaton Dental Centre,Seaton Dental Centre,Ingleside,16 Fore Street,Seaton,Devon,EX12 2LA,50.70505142,-3.070743799,Q66,Devon,,,,
10092,V16986,Dentists,UNKNOWN,Visible,TRUE,Axminster Dental Practice,Axminster Dental Practice,Weycroft Avenue,,Axminster,Devon,EX13 5HU,50.79051971,-2.98415184,Q66,Devon,,,,
10095,V00979,Dentists,UNKNOWN,Visible,TRUE,Golds Place Dental Practice LTD,Golds Place,26 High Street,1st Floor,Cullompton,Devon,EX15 1AA,50.85801697,-3.393088579,Q66,Devon,,,,
10097,V00981,Dentists,UNKNOWN,Visible,TRUE,Cullompton Dental Centre,2 Higher Street,,,Cullompton,Devon,EX15 1AJ,50.85969162,-3.392172098,Q66,Devon,,,,
10099,V00988,Dentists,UNKNOWN,Visible,TRUE,Tiverton Dental Centre,62 Bampton Street,,,Tiverton,Devon,EX16 6AH,50.90459442,-3.486327648,Q66,Devon,,,,
10101,V00991,Dentists,UNKNOWN,Visible,TRUE,St Peter St Dental Centre,St Peter Street Dental Centre,37 St Peter Street,,Tiverton,Devon,EX16 6NW,50.90439987,-3.488725185,Q66,Devon,,,,
10103,V00977,Dentists,UNKNOWN,Visible,TRUE,Crediton Dental Care,Crediton Dental Care,110 High Street,,Crediton,Devon,EX17 3LF,50.79098892,-3.661307573,Q66,Devon,,,,
10105,V00010,Dentists,UNKNOWN,Visible,TRUE,Okehampton Dental Practice,Okehampton Dental Practice,6 Station Road,,Okehampton,Devon,EX20 1DZ,50.73682785,-4.002512932,Q66,Devon,,,,
10109,V04746,Dentists,UNKNOWN,Visible,TRUE,The Old Vicarage Dental Surgery,,2 Vicarage Street,,Barnstaple,Devon,EX32 7BT,51.08250809,-4.057172298,Q66,Devon,,,,
10116,V04782,Dentists,UNKNOWN,Visible,TRUE,Heddons Croft Dental Practice,Exeter Road,,,Braunton,Devon,EX33 2JL,51.10694122,-4.160442829,Q66,Devon,,,,
10121,V04819,Dentists,UNKNOWN,Visible,TRUE,Torrington Dental Practice,Tarka House,Halsdon Terrace,,Torrington,Devon,EX38 8DY,50.95163345,-4.145584583,Q66,Devon,,,,
10123,V04763,Dentists,UNKNOWN,Visible,TRUE,Queen Annes Dental Practice,4 Queen Annes,High Street,,Bideford,Devon,EX39 2AS,51.0180397,-4.208007813,Q66,Devon,,,,
10130,V07790,Dentists,UNKNOWN,Visible,TRUE,Exeter Orthodontic Practice,1 Richmond Road,,,Exeter,Devon,EX4 4JA,50.72689819,-3.535743713,Q66,Devon,,,,
10134,V05758,Dentists,UNKNOWN,Visible,TRUE,Fairfield House Dental Surgery,10 Salterton Road,,,Exmouth,Devon,EX8 2BW,50.61637878,-3.404997826,Q66,Devon,,,,
10136,V06293,Dentists,UNKNOWN,Visible,TRUE,Ben Pearson Dentistry,,31 Queen Street,,Exeter,Devon,EX4 3SR,50.72676086,-3.535000563,Q66,Devon,,,,
10137,V07926,Dentists,UNKNOWN,Visible,TRUE,Clock Tower Dental Practice,,10 New North Road,,Exeter,Devon,EX4 4HF,50.72780228,-3.534014225,Q66,Devon,,,,
10145,V07486,Dentists,UNKNOWN,Visible,TRUE,Emergency Dental Service Barnstaple,Barnstaple Health Centre,Vicarage Street,,Barnstaple,Devon,EX32 7BT,51.08250809,-4.057172298,Q66,Devon,,,,
36991,V06556,Dentists,UNKNOWN,Visible,TRUE,Elm Dental Practice,Elm Dental Practice,50 Dean Hill,Plymstock,Plymouth,Devon,PL9 9AE,50.35722733,-4.089994431,Q66,Devon,,,,
44282,V04488,Dentists,UNKNOWN,Visible,TRUE,Parkhill Dent,Park Hill Dental Practice,3 Park Hill Road,,Torquay,Devon,TQ1 2AL,50.46076965,-3.52221489,Q66,Devon,,,,
44283,V12869,Dentists,UNKNOWN,Visible,TRUE,Orchards Dental Practice,Orchards Dental Practice,321 Babbacombe Road,,Torquay,Devon,TQ1 3TB,50.47284698,-3.506960154,Q66,Devon,,,,
45929,V17633,Dentists,UNKNOWN,Visible,TRUE,High Street Dental Practice Honiton,40a High Street,,,Honiton,Devon,EX14 1PJ,50.80031967,-3.18631649,Q66,Devon,,,,
750972,V17624,Dentists,UNKNOWN,Visible,TRUE,Smile Dental Care,,135 Marldon Road,,Paignton,Devon,TQ3 3NL,50.44551086,-3.583739519,Q66,Devon,,,,
750973,V18072,Dentists,UNKNOWN,Visible,TRUE,Quay Health Dental Surgery,,21-23  Dendy Road,,Paignton,Devon,TQ4 5DB,50.43624115,-3.566419125,Q66,Devon,,,,
750974,V18071,Dentists,UNKNOWN,Visible,TRUE,Richard Thompson Dental Practice,,15 Park Hill Road,,Torquay,Devon,TQ1 2AL,50.46076965,-3.52221489,Q66,Devon,,,,
3664771,V13280,Dentists,UNKNOWN,Visible,TRUE,Smile Dental Care Cattedown,,8 Cattedown Road,,Plymouth,Devon,PL4 0BZ,50.36860275,-4.122866154,Q66,Devon,,,,
