Period,Electricity Cost (£),Electricity Consumption (kwh),Gas Cost (£),Gas Consumption (kwh)
January 2021,197.46,1167.0989010989013,100.81,3425.5613186813184
February 2021,178.35,1054.1538461538462,91.06,3094.0553846153844
March 2021,118.81,664.4264241505621,119.66,3968.3181760767966
April 2021,167.3,907.9310344827585,69.62,2156.289655172414
May 2021,172.87,938.1954022988505,71.94,2228.1659770114943
June 2021,152.51,817.9724137931034,38.17,1175.1018620689656
July 2021,147.4,783.2666666666668,17.78,538.3425555555556
August 2021,147.4,783.2666666666668,17.78,538.3425555555556
September 2021,172.62,869.3333333333333,53.97,1416.5633333333333
October 2021,193.86,955.8333333333333,74.76,1926.5018888888887
November 2021,187.61,924.9999999999999,72.35,1864.3566666666666
December 2021,216.07,1054.0274725274726,116.76,2937.6762307692306
January 2022,225.17,1094.1978021978023,133.95,3351.3384615384616
February 2022,203.38,988.3076923076924,120.99,3027.015384615385
March 2022,142.66,563.2200450152257,103.17,2026.7296941612606
April 2022,100.05,300.3614457831324,85.66,1350.932530120482
May 2022,103.38,310.3734939759035,88.51,1395.9636144578315
June 2022,167.13,615.4676037483267,35.9,509.07297322623816
July 2022,175.1,647.2111111111112,35.32,496.04477777777765
August 2022,176.97,650.7222222222223,38.05,522.2499999999999
September 2022,225.47,731.6666666666667,115.96,1266.2
October 2022,232.99,756.0555555555555,119.82,1308.4066666666668
November 2022,210.44,682.8888888888889,108.23,1181.7866666666669